"otsikko","teksti","tahdet","url","kieli"
"placeholder","hidas toimitus ja epäselvä informaatio. reklamaatio tehty josta sai lämpimän kädenpuristuksen- tai oikeastaan se oli melkoisen kylmä","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ystävänpäivänkamppiksen personoitu Fasun sininen saapui kolme päivää ystävänpäivän jälkeen, toisin kuin kamppiksessa luvattiin. Koko tuotteen pointti meni siksi huti. Aspan reaktio oli vain toteamus että kyllähän se tuli perille.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Koska se ei koskaan saapunut lähes kuukauden jälkeenkään, on vaikea kirjoittaa arvostelua.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilaus kesti tulla liian kauan. Asun 1km päästä tehtaasta ja kuvittelin sen ehtivän 8.3 naistenpäiväksi. Noh, ei ehtinyt, joten jouduin ostamaan jotain muuta. Siksi 2.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilaamani suklaalevy mainostettiin isänpäivälahjana, ja olin siinä uskossa että lahja lähetetään automaattisesti sellaisena ajankohtana että se saapuu isälle isänpäiväksi. Mutta ei, se lähti heti valmistuttuaan, ja isä sai lahjansa kolme viikkoa ennen isänpäivää!!!! Tästä olisi voinut mainita nettikaupassa niin olisin tehnyt tilaukseni myöhemmin. Huono juttu!","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Sen saaminen kesti ikuisuuden. Sen piti olla lahja, joka valitettavasti viivästyi.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Fazerin toiminta oli nopea mutta postissa kesti 9 vuorokautta.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Äiti meinasi heittää roskiin, koska oli ihan mainoksen näköinen.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Takana oleva teksti olisi voinut olla isommalla fontilla. Huonoa oli että jokainen levy tuli irtokappaleena ja nykyisen postin toimitukset huomioiden, ei paras mahdollinen tapa. Muutaman levyn kulma saanut vähän iskua.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tuote loistava mutta lähetyksen kesto järkyttävän pitkä! Ottakaa se huomioon kun tilaatte ko.tuotteen!","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Toimitus kesti luvattoman kauan.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","petyin levyn ulkonäköön kun oli vain kullanvärinen kääre levyn päällä ( luki kuulemma jossain) ja tuo kullanvärinen ei mun mielestäni ollut kullanvärinen joten en aio tilata lisää jos joskus tulee taas tarjous!","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Valitettavasti paketti saapui liian myöhään! Lisäksi suklaapatukka oli tuhannessa palassa.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Olisin arvostanut, jos suklaapatukan ympärillä olisi enemmän suojaa. Nyt kun se saapui, se oli todellinen shokki.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","aikatauluarvio olisi ollut kiva tietää tilauksen yhteydessä.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Toimitus kesti noin 2 viikkoa","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tuotetta ei toimitettu luvattuna päivänä, 3pv myöhässä. Joten en sasnut yllätettyä ystävääni.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tuolla hintaa pitäisi saada oikeasti suunnitella oma kääre, eikä vain paperi suklaalevyn ympärille. Pettynyt.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Olisin odottanut, että kääreen fontti on samalla lailla kultaisella tehty kuin oikeassakin kääreessä. Näin ei ole, vaan se on hyvin halvan oloinen harmaa-ruskea printti. Plus ""erillinen kääre"" tarkoittaa oikeasti normi Fazerin-sinistä, jossa on se normaali kääre, niin sen päälle kiepautettua printattua sinistä paperia.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Oletin, että levyn kuori olisi ollut oikeasti pinkki. Sen sijaan siinä on pinkki paperi minkä alla normaali sininen kuori. Tästä erikoisuudesta 15€?","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Jokos se homma etenee että voisi tilata monta levyä samaan osoitteeseen yksillä postimaksulla???","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Luulin, että tekstit olisivat suklaalevyn kääreissä, mutta siihen onkin laitettu päälle toinen käärepaperi, jossa tekstit ovat. Jos olisin tiennyt olisin itse tehnyt paperista kääreet suklaalevyn ympärille. Ei todellakaan 15e arvoinen! Rahat meni täysin hukkaan.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Toimitus aika huonosti informoitu.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Koska se oli eri maassa, sitä ei pakattu kovin hyvin, joten siinä oli jonkin verran vahinkoa","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Posti jakoi paketin naapuriin","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Petyin .. vain kulrainen extra kääre. Luulin että se olisi ollut varsinainen suklaan kääre","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Vähän jäi pettymys että teksti oli väärin päin takana","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ei mennyt oikealle vastaanottajalle eikä ajoissa😠","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ei ollut mennyt perille ollenkaan, mutta ei ole laskuakaan hyvitetty.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Suklaa sulannut sekä teksti eri päin edessä ja takana.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Nopea toimitus lahjansaajan postilaatikkoon .","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Toimitusaika liian pitkä!","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tuote oli hyvä mutta postitus kesti liian pitkään","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Luulin, että tuolla hinnalla olisi saanut suklaalevylle oman kääreen eikä vain lisäkääreen...","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Pitkä oli toimitusaika.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Vaurioitunut pakkaus postissa.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Luulin, että räätälöity kääre on itse suklaalevyn kääre, mutta se olikin kääreen päälle sujautettu hiha.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Miksei viesti tule samalla fontilla kuin etupuolen Nimi? Yt. Marjaleena","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Kuinka saisin personoidun viestin vegaanille?","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tuotteella on todella pitkä toimitusaika.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Miksei valittavissa voisi olla kaikki fazerin suklaalevyt, kun kääre johon teksti kirjoitetaan on erikseen. Olisi vaan enemmän kysyntää, jos olisi muitakin vaihtoehtoja.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Viesti ei ole kirjoitettu peruskäöreesen vain se on kirjoitettu sen peruskäären päälle eli kaks eri tekstia se minkä kirjoitatte tonne on toka se normi fazer tule ihan alleen eli niit on kaks eri tekstiä siellä","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Viestiä ei siis kirjoiteta suklaalevyn peruskääreeseen, vaan sen ympärille kääritään ylimääräinen kartonki johon viesti laitetaan.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","ihan ok oli","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin kaverille heti silloin, kun tämä tuli mahdolliseksi. Ei koskaan ole mennyt perille. Toivottavasti edes joku on saanut kyseisen tuotteen. Ei koskaan enää. Vien suklaalevyni henkilökohtaisesti jatkossa.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ideana hyvä ja saa henkilökohtaisuutta lahjana annettuun suklaalevyyn. Suunnittelin ja tilasin suklaalevyn kaverille jo yli viikko sitten, ei ole mennyt vieläkään perille! Nopein (ja myös halvin) tapa on ostaa suklaalevy itse ja kiikuttaa se perille itse, siten saa välistä jätettyä kalliin ja hitaan Postin pois.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin syntymäpäivä lahjaksi neulonta boxin ja siihen kortiksi tämän suklaalevyn onnittelutekstillä. Tilauksen tein kaksi viikkoa ennen syntymäpäivää. Oletus oli että nämä kaksi tuotetta lähtevät samassa lähetyksessä noin parin viikon kuluttua. Toisin kävi, neulontaboxi lähti välittömästi tilauksen jälkeen ja suklaalevy lähtee sitten oarin viikon kuluttua. Siinä sitten lahjan saaja ihmettelee mikä tämä neulontaboxi on! Niin noloa! Ei todellakaan olisi kannattanut tilata!","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Valikoitte tekstit mitä suostutte tekemään, rajoittaa mahdollisuutta saada juuri haluamansa teksti asiakkaan. Ei ole teidän asia toimia moraalin vartijana,","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","100 kappaletta asiakkaille lahjaksi > 1500e. Vai ostaisko kaupasta 1500e:lla suklaata (noin 500kpl) ja liimaisi itse kaapista löytyviä yrityksen tarroja päälle. Mielestäni turhan kallis ostettavaksi -JH-","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Voiko Irwin Goodman-fanille kirjoittaa ""terveisiä perseestä"" etukanteen? Tiedän että ei kuulosta ystävälliseltä, mutta onhan yksi Irwinin suosituimmista lauluista. Mielestäni hän ilahtuisi siitä, kun on niin iso fani.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Mietin pitkään, ennenkuin tilasin koska luin negatiivisia kommentteja täältä. Tilasin kuitenkin ja virhe. Hyvin halvan oloinen toteutus. Luulisi näin isolla ja nimekkäällä firmalla olla resursseja tehdä tähän rahaan parempi lopputulos.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Harmi kun on nyt vain vaihtoehtona pinkki kääre, olisi sininen ollut parempi miehelle. Luulisi että olisi helppo systeemi laittaa 2 vaihtoehtoa.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Onnistuisiko myös kyrillisillä teksteillä tervehdystekstit?","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tämä on kiva idea! Haluaisin muistaa useampia kavereita kerralla, voinko lisätä samaan tilaukseen useampia vastaanottajia? Vai pitääkö jokaiselle vastaanottajalle tehdä oma tilaus?","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Miksi ei pysty kirjoittamaan esimerkiksi kyriirisin aakkosin? Viime vuonna lähetin kauttanne Kreikkaan, nyt siis joudun tilaamaan itselleni, jotta voin lähettää edelleen :( Mikä sellainen lähetyspalvelu on joka ei kelpaa kaikkiin maihin, vaikka on kallis?","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Hei, miksei Bulgariaan ole mahdollista lähettää suklaalevyä? Kyseessä kuitenkin EU-maa.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ei mahdu teksti joka pitäisi saada. Olisi hyvä jos saisi toisen rivin etupuolelle vaikka pienemmällä fontilla.... Jäi tilaamatta","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin tuotteen 10/10,toimitus lähti vasta 14/10.olisi ollut mukavaa tietää etukäteen, minkälaista viivettä toimituksella on, nin olisi vaan tilannut aikaisemmin","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Pinkki limited edition tuote juuri Roosa-naihakeräyksen aikaan. Menevätkö näiden tuotot Roosa-nauhakeräykseen?","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Valitsin tekstiini runon mikä sisälsi sanan ""Sex"". Yli viikko tilauksen jälkeen minulle tulee sähköposti missä kerrotaan että tämä on hyvän maun vastaista, eivätkä he eivät aijo lähettää minulle tuotetta. Erikoista.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Useamman levyn tilaaminen samaan osoitteeseen?18.9.2021 Mahtava idea tämä omalla tekstillä varustettu suklaalevy! Jos tilaa kaksi tai useamman levyn samalla tekstillä samalle vastaanottajalle, onko hinta edelleen 15 euroa / kpl? Lähetetäänkö levyt yksitellen vai saisiko ne samaan pakettiin? Moikka! Vaikka levyissä olisi sama toimitusosoite, toimitetaan jokainen levy omana lähetyksenään. :) Minun Sininen -levy myydään aina yhdessä kuljetuksen kanssa. Eikö tätä voi kehittää....olisin tilannut 7 levyä mutta tulee järkyttävä hinta.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Plussaa luvattua nopeammasta toimituksesta. Tuote kuitenkin tuotti pettymyksen, teksti ei ollutkaan kääreessä vaan tavallisen suklaalevyn päälle asetellussa erillisessä paperikääreessä. siihen nähden tuotteen hinta on liian korkea.","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Jos tilaa esimerkiksi 5, 10 tai 20 voiko saada määräalennusta?","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Ideana olisi ihan kiva, mutta en koe hintansa arvoiseksi. Jos hinta olisi esim. 10 €, voisin käyttää.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilattiin ja maksettiin maanantaina. Seuraavan viikon torstai 10 päivää myöhemmin - eipä ole perillä. Ja toimitus Helsinkiin. Piti olla tsemppiä toivottava toimitus ennen hautajaisia jotka nyt olivat ja menivät. Voi kyynel tätä touhua.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin suklaalevyn 4.5 ilalla klo20 ystävälleni synttärilahjaksi kun minulle sanottiin puhelimessa että menee vähintään tuo 10 päivää ja tänään sain tiedon että suklaalevy on jo toimitettu eli tilauksesta meni 4päivää. Ei Hyvä meni aivan liian aikaisin.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Paappani lähti Amerikkaan ja siellä on sukulaisia. Yhdysvallat ""Valitse maa"" -listalle, kiitos.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Halusin kirjoittaa viestin vietnamilaiselle rakkaalleni, mutta palvelunne hyväksyy vain suomenkieliset aakkoset vaikka erityisesti latinalaiseen aakkostoon pohjautuvat merkit olisi erittäin helppo lisätä käyttämäänne kirjasinlajiin, ellei niitä siitä jostain oudosta syystä vielä löydy. Suomi on kansainvälinen maa ja suomalaiset kansainvälistä kansaa. Olisiko palvelussanne parannettavaa?","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin äitienpäivälahjaksi kaksi suklaalevyä omalla kääreellä ja yhden uutusboksin kesä 2021. Summa ylitti 45€ ilmaisen toimituksen rajan, silti jouduin maksamaan 4,90€ toimitusmaksua. Miksi näin?","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Kun tein tilausta, luki ostoskorin kohdalla, että puuttuu vielä n 6 euroa että tilaus lähtisi toimituskuluitta. Tein lisähankintoja, loppusumma yli 60 e, sitten ei tullut enää sitä tekstiä, mutta tuli kyllä toimitusmaksu tilaukselle.Mitä ihmettä tämä tarkoittaa?  Ja jossain kohdin luki, että yli 45 euron tilaus toimitusmaksutta, mutta en ymmärtänyt mitä sekään tarkoittaa, kun tilaukseni oli jo yli 60 e eikä silti tullut toimitusmaksutta. Ja chat on offlinella.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Previewn mukaan tekstiä mahtuu takakanteen 3 riviä. Sain kirjoittaa vain yhden lauseen. Lapsi oli vähän pettynyt kun mummolle menevä levy ei saanut koko tervehdystä minkä hän oli itse miettinyt.","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Palautitte mun rahat kun ette suostunu mun kauniisiin kirjoituksiin, neitokaiset nauro kyl kun kerroin mitä koitin niille tilata, pilasitte tuonkin pienen ilon, vähä huumoria elämään..","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Tilasin 2vk ennen isänpäivää isälleni hienon suklaalevyn. Seurasin postin trackeria ja huomasin, että vaikka isänpäivään oli pari päivää ei tuotteeni ollut edennyt vielä postille. Ajattelin, että ehkä tämä on nornaalia, koska monet ovat varmasti tilanneet isälleen suklaata. Noh jäin odottamaan tuotettani. Joulukuu alkoi eikä paketti ollut vieläkään edennyt edes postille asti. Tajusin, että tuotteeni ei tule. Lähetin Fazerille viestiä asiasta ja he sanoivat että :""Posti on varmaan hukannut tuotteen "", mutta eihän tilanne voi olla näin sillä tuote ei koskaan edes saapunut postille.He lupasivat lähettää minulle uuden suklaan ja se saapui kuten pitääkin nopeasti Helsingistä Tampereelle. Minkäänlaista kompensaatiota yli kuukauden myöhästymisestä ei tullut. Toki tuote lopulta saapui ja oli hyvässä kunnossa. Tämä on bonusta, mutta silti vähän pettynyt tästä fazerin palvelusta.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Moi. Minä tilasin Fazerin sininen levyn lahjaksi 3 joulukuuta, ehtiikö levy tulla 7.-10.12? PS minä en tiedä onko se tilaus vieläkin Tampereella koska ei ole tullut mitään ilmoitusta siitä että missä se levy on. Minä asun kerrostalossa niin tuleeko se tilaus postiluukusta?","3","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","kuka on suklaalevynlaittanut kun siinä ei ollut mitään lähettäjää?","2","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","""Toimitus EU-alueen sisällä sisältyy hintaan"", mutta sovellus ei näytä hyväksyvän esim puolalaisia tai unkarilaisia erikoisaakkosia tai kreikkalaisia aakkosia lainkaan.  Muutkin kuin suomea taitavat saattaisivat ilahtua omankielisestä suklaalevystä. :-(","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Suklaalevyä mainostettiin isänpäivä tuotteena. ""Tilaa isällesi""noh siinä se isänpäivä meni vaikka 2vk sitten tilasin. Mainostettiin kerta isnäpäivä lahjana niin saisi tulla silloin myös :( Ja postin tracking tietojen mukaan tuote on edelleen Helsingissä. Toisinsanien 2vk aikana tuote ei ole edennyt.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Hei Tilasin suklaalevyn 30.10., ja sain tilauksesta vahvistuksen. Ei ole tullut perille ajoissa. Mihin voin olla yhteydessä, että saan rahani takaisin? Nimim. Kiitos tyhjästä","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
"placeholder","Miksi on niin, että tilausvaiheessa pyydetään kyllä erikseen osoitetiedot, mutta maksaessa voi valita vain yhden toimitusosoitteen? Mitä jos laitat usealle ystävälle samanaikaisesti? Hirveä vaiva, sais varmasti koodattua myös niin, että usean levyn lähetys onnistuu samanaikaisesti.","1","https://fi.fazer.com/collections/all/products/suunnittele-ja-laheta-lahjaksi-karl-fazer-suklaalevy","fi"
